channelGrouping;date;device.browser;device.browserVersion;device.browserSize;device.operatingSystem;device.operatingSystemVersion;device.isMobile;device.mobileDeviceBranding;device.mobileDeviceModel;device.mobileInputSelector;device.mobileDeviceInfo;device.mobileDeviceMarketingName;device.flashVersion;device.language;device.screenColors;device.screenResolution;device.deviceCategory;fullVisitorId;geoNetwork.continent;geoNetwork.subContinent;geoNetwork.country;geoNetwork.region;geoNetwork.metro;geoNetwork.city;geoNetwork.cityId;geoNetwork.networkDomain;geoNetwork.latitude;geoNetwork.longitude;geoNetwork.networkLocation;sessionId;socialEngagementType;totals.visits;totals.hits;totals.pageviews;totals.transactionRevenue;totals.newVisits;trafficSource.campaign;trafficSource.source;trafficSource.medium;trafficSource.keyword;trafficSource.adwordsClickInfo.criteriaParameters;trafficSource.isTrueDirect;visitId;visitNumber;visitStartTime
Organic Search;20180314;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;9470529642766700000;Europe;Western Europe;France;Auvergne-Rhone-Alpes;(not set);Lyon;not available in demo dataset;completel.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;9470529642766703212_1521043725;Not Socially Engaged;1;95;54;;0;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1521043725;10;1521043725
Organic Search;20180121;Chrome;not available in demo dataset;not available in demo dataset;Chrome OS;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;7034595573568920000;Americas;Northern America;Canada;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;rogers.com;not available in demo dataset;not available in demo dataset;not available in demo dataset;7034595573568918083_1516541869;Not Socially Engaged;1;95;54;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1516541869;1;1516541869
Social;20180306;Chrome;not available in demo dataset;not available in demo dataset;Android;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;4065878566569860000;Asia;Southeast Asia;Vietnam;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;vnpt.vn;not available in demo dataset;not available in demo dataset;not available in demo dataset;4065878566569856600_1520389061;Not Socially Engaged;1;95;52;;1;(not set);youtube.com;referral;(not provided);not available in demo dataset;FALSO;1520389061;1;1520389061
Direct;20180120;Chrome;not available in demo dataset;not available in demo dataset;Android;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;5892495469107320000;Americas;Northern America;United States;Washington;Seattle-Tacoma WA;Seattle;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;5892495469107318534_1516435906;Not Socially Engaged;1;95;49;;1;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1516435906;1;1516435906
Direct;20171205;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;1759779356678950000;Americas;Northern America;United States;Illinois;Chicago IL;Chicago;not available in demo dataset;comcast.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;1759779356678951325_1512489644;Not Socially Engaged;1;95;43;;0;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1512489644;30;1512489644
Direct;20170924;Safari;not available in demo dataset;not available in demo dataset;iOS;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;76438251576312500;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;San Francisco;not available in demo dataset;comcast.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;076438251576312510_1506305207;Not Socially Engaged;1;94;75;;1;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1506305207;1;1506305207
Organic Search;20180425;Safari;not available in demo dataset;not available in demo dataset;iOS;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;9119538456703230000;Europe;Western Europe;Germany;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;9119538456703232895_1524683286;Not Socially Engaged;1;94;74;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1524683286;1;1524683286
Social;20171129;Safari;not available in demo dataset;not available in demo dataset;iOS;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;tablet;8511410662046630000;Americas;Northern America;Canada;Quebec;(not set);Montreal;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;8511410662046626603_1511953080;Not Socially Engaged;1;94;7;;1;(not set);youtube.com;referral;(not provided);not available in demo dataset;FALSO;1511953080;1;1511953080
Direct;20180403;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;5632468096625170000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;5632468096625171455_1522766973;Not Socially Engaged;1;94;68;;1;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1522766973;1;1522766973
Organic Search;20171027;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;6074921044298580000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;6074921044298580219_1509166774;Not Socially Engaged;1;94;66;;0;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1509166774;2;1509166774
Organic Search;20170804;Safari;not available in demo dataset;not available in demo dataset;iOS;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;tablet;3523937285082740000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;comcastbusiness.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;3523937285082743193_1501913138;Not Socially Engaged;1;94;65;;0;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1501913138;2;1501913138
Referral;20170803;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;6949989259220230000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;San Bruno;not available in demo dataset;sanbrunocable.com;not available in demo dataset;not available in demo dataset;not available in demo dataset;6949989259220234465_1501786700;Not Socially Engaged;1;94;65;;1;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;FALSO;1501786700;1;1501786700
Paid Search;20180309;Chrome;not available in demo dataset;not available in demo dataset;Android;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;5201144307393130000;Americas;Northern America;United States;New York;New York NY;New York;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;5201144307393128519_1520625601;Not Socially Engaged;1;94;65;;1;"Page: contains ""/google+redesign/office"" Similar Audiences";google;cpc;(Remarketing/Content targeting);not available in demo dataset;FALSO;1520625601;1;1520625601
Direct;20170823;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;3466094659931930000;Americas;Northern America;United States;Texas;Houston TX;Houston;not available in demo dataset;comcastbusiness.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;3466094659931927332_1503513316;Not Socially Engaged;1;94;64;;0;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1503513316;2;1503513316
Paid Search;20171030;Safari;not available in demo dataset;not available in demo dataset;iOS;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;6882854690783300000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;San Francisco;not available in demo dataset;spcsdns.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;6882854690783296659_1509426215;Not Socially Engaged;1;94;64;;1;AW - Dynamic Search Ads Whole Site;google;cpc;6qEhsCssdK0z36ri;not available in demo dataset;FALSO;1509426215;1;1509426215
Paid Search;20171102;Edge;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;6357877302254440000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;verizon.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;6357877302254443041_1509610211;Not Socially Engaged;1;94;63;;1;AW - Dynamic Search Ads Whole Site;google;cpc;6qEhsCssdK0z36ri;not available in demo dataset;FALSO;1509610211;1;1509610211
Direct;20170830;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;7498695963354640000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Mountain View;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;7498695963354635199_1504137606;Not Socially Engaged;1;94;62;;0;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1504137606;123;1504137606
